Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 10629
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2121
Not Found: /gg
"GET /gg HTTP/1.1" 404 2094
D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
DEBUG 2024-04-25 23:22:25,846 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\mime\message.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,846 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1713712047.7764404
DEBUG 2024-04-25 23:22:25,846 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1713712047.4344919
DEBUG 2024-04-25 23:22:25,846 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1713712047.7658882
DEBUG 2024-04-25 23:22:25,846 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\dotenv\main.py first seen with mtime 1713712044.1400833
DEBUG 2024-04-25 23:22:25,847 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\loader.py first seen with mtime 1713712047.7015264
DEBUG 2024-04-25 23:22:25,847 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,847 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\library.py first seen with mtime 1713712047.7015264
DEBUG 2024-04-25 23:22:25,847 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\DLLs\unicodedata.pyd first seen with mtime 1675769104.0
DEBUG 2024-04-25 23:22:25,847 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,848 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\subprocess.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,848 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\manage.py first seen with mtime 1713711768.6749837
DEBUG 2024-04-25 23:22:25,848 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,848 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1713712047.7085714
DEBUG 2024-04-25 23:22:25,848 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1713712045.0728023
DEBUG 2024-04-25 23:22:25,849 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\http\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,849 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1713712047.3594546
DEBUG 2024-04-25 23:22:25,849 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1713712047.3572707
DEBUG 2024-04-25 23:22:25,849 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\operator.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,849 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1713712047.6983442
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1713712047.7718682
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\backends\django.py first seen with mtime 1713712047.705582
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\urllib\request.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_common.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,850 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1713712047.3329465
DEBUG 2024-04-25 23:22:25,851 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\mimetypes.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,851 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\fnmatch.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,851 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1713712047.772865
DEBUG 2024-04-25 23:22:25,851 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_events.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,851 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1713712045.4363644
DEBUG 2024-04-25 23:22:25,852 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\platform.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,852 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1713712047.68753
DEBUG 2024-04-25 23:22:25,852 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\files\images.py first seen with mtime 1713712047.361693
DEBUG 2024-04-25 23:22:25,852 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1713712043.734437
DEBUG 2024-04-25 23:22:25,852 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1713712045.5775743
DEBUG 2024-04-25 23:22:25,853 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\collections\abc.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,853 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\files.py first seen with mtime 1713712047.3492973
DEBUG 2024-04-25 23:22:25,853 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1713712043.7409542
DEBUG 2024-04-25 23:22:25,853 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1713712047.364084
DEBUG 2024-04-25 23:22:25,853 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\auth\migrations\0011_update_proxy_permissions.py first seen with mtime 1713712045.7240088
DEBUG 2024-04-25 23:22:25,854 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1713712047.347304
DEBUG 2024-04-25 23:22:25,854 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1713712047.405491
DEBUG 2024-04-25 23:22:25,854 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,854 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1713712047.4065146
DEBUG 2024-04-25 23:22:25,854 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\dom\domreg.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,855 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1713712047.7896414
DEBUG 2024-04-25 23:22:25,855 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1713712054.0436125
DEBUG 2024-04-25 23:22:25,855 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1713712047.3836973
DEBUG 2024-04-25 23:22:25,855 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\asyncio\selector_events.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,856 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1713712047.7751896
DEBUG 2024-04-25 23:22:25,856 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\middleware\cache.py first seen with mtime 1713712047.68853
DEBUG 2024-04-25 23:22:25,856 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\postgres\lookups.py first seen with mtime 1713712046.677042
DEBUG 2024-04-25 23:22:25,856 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1713712047.4374995
